Odleglosc,Kierunek,Kategoria,dissimilarity,correlation,contrast,energy,homogeneity,ASM
1,0,brick,3.2183193897637796,0.9129611347569823,26.73160679133858,0.07239313738820609,0.355111878653313,0.005240766340907681
1,0.7853981633974483,brick,5.225928451856904,0.7819965545351121,65.78368156736315,0.0632540749698863,0.26485499204225366,0.0040010780002959975
1,1.5707963267948966,brick,4.500369094488189,0.8301056665801909,51.19721948818898,0.06768968850137264,0.30247689107682385,0.004581893929412858
1,2.356194490192345,brick,5.158720317440635,0.7880581993332972,63.945005890011785,0.06354510640408151,0.2660030396334113,0.00403798054790604
3,0,brick,5.610875,0.7373887486238462,80.882125,0.05865564231171627,0.24425654568917737,0.0034404843750000004
3,0.7853981633974483,brick,7.625346434870245,0.5391325184746494,137.6072058453011,0.05651319179237814,0.20928460437899638,0.0031937408465621156
3,1.5707963267948966,brick,8.214500000000001,0.44840915808159704,163.24562500000002,0.05589002873948089,0.20789353260612872,0.0031236953125
3,2.356194490192345,brick,7.4448853615520285,0.5587093898288599,131.74118165784836,0.057104176320587875,0.21506757145400512,0.003260886953252789
5,0,brick,6.689469004065041,0.6406805869129996,110.94937754065042,0.055001120560004085,0.22005567506222917,0.0030251232628561043
5,0.7853981633974483,brick,10.556191467221645,0.19997482883132547,238.61043184183143,0.05047270395185349,0.16723477510654242,0.0025474938442114473
5,1.5707963267948966,brick,10.257939532520325,0.22701430709245668,230.00031758130083,0.05029324809618299,0.16928863806830535,0.0025294108040642142
5,2.356194490192345,brick,10.23933402705515,0.23622587195275008,227.61251300728406,0.0507675813954448,0.17201892177288464,0.002577347320743113
1,0,brick,3.213767224409449,0.8994384651025008,30.504982775590552,0.09017612786600218,0.39298915527534206,0.008131734036905576
1,0.7853981633974483,brick,5.262260524521049,0.7654363578944753,70.05288610577222,0.07807273143281969,0.2883760192300537,0.006095351393381192
1,1.5707963267948966,brick,4.381951279527558,0.83054541564435,50.566990649606296,0.0834354488693288,0.3271011641501066,0.00696147412802638
1,2.356194490192345,brick,5.064356128712257,0.782742262620674,64.88331576663154,0.07800036971839537,0.29054170995616985,0.006084057676206369
3,0,brick,5.4996875,0.7146768034114488,86.68406250000001,0.07335306316030708,0.28105443661643603,0.0053806718750000005
3,0.7853981633974483,brick,7.633723859914336,0.5132747318853077,143.29371378180903,0.07114405817599939,0.23520164316282732,0.005061477013749986
3,1.5707963267948966,brick,8.1138125,0.4315475773762245,164.8854375,0.06977855598247933,0.23219113274054487,0.0048690468750000005
3,2.356194490192345,brick,7.428256487780297,0.5391380031148337,135.65312421264804,0.07087043981552843,0.23560143788858762,0.005022619239646438
5,0,brick,6.531567581300814,0.6155403248981774,116.29300050813009,0.06982612619336186,0.25383838701697325,0.004875687899171294
5,0.7853981633974483,brick,10.685678980228928,0.12848448186654338,250.96026274713842,0.06401295370630578,0.19172430957761832,0.004097658242205646
5,1.5707963267948966,brick,10.304496951219512,0.16929232863367466,240.0195630081301,0.064247128862649,0.19776594767242986,0.004127693567093826
5,2.356194490192345,brick,10.31887356919875,0.17671480302292183,237.0978798126951,0.06411720321741815,0.19486563216906835,0.004111015748423696
1,0,brick,3.770669291338583,0.8710974121254874,35.85457677165354,0.06733122733479781,0.3261963104331545,0.004533494174410223
1,0.7853981633974483,brick,5.808543617087235,0.7181868511346216,78.67976935953872,0.058501281401230974,0.24231537576669349,0.0034223999255860132
1,1.5707963267948966,brick,5.042015255905512,0.7836159803583376,60.5111343503937,0.062435484150801523,0.2736759830625087,0.003898189681144988
1,2.356194490192345,brick,5.576973153946309,0.7388282533660799,72.91729183458366,0.05876313402474266,0.2467053226605283,0.0034531059204098687
3,0,brick,5.784375000000001,0.7002604269415189,83.10537500000001,0.057002329996237874,0.24230784884072648,0.003249265625
3,0.7853981633974483,brick,7.87459057697153,0.4857453021129068,144.0078735197783,0.053803244446595344,0.20267727995724946,0.0028947891129800928
3,1.5707963267948966,brick,8.661125,0.3633433902251608,179.76575,0.05227653333475738,0.19887619257459238,0.0027328359375
3,2.356194490192345,brick,7.807571176618795,0.49555263471454336,141.26284958427817,0.053047398791741564,0.1984226668417714,0.0028140265185700643
5,0,brick,6.573551829268292,0.6216688634354451,104.5891768292683,0.05467123122082103,0.21617523069272662,0.002988943523200476
5,0.7853981633974483,brick,10.589555150884495,0.10868642625954439,251.29481009365247,0.048752681951921374,0.1722434328192611,0.0023768239975052
5,1.5707963267948966,brick,10.927909044715449,0.06977072334043685,265.0559578252032,0.04794657329020313,0.1692609677906978,0.0022988738902728206
5,2.356194490192345,brick,10.430801248699272,0.13709240981783302,243.29383454734653,0.048737062822385734,0.17026828281541562,0.0023753012925531738
1,0,brick,3.1694758858267718,0.9116034395090907,27.85217765748031,0.062457542134375287,0.3702297369639456,0.0039009445694672645
1,0.7853981633974483,brick,4.966767933535867,0.8027922576350974,62.423150846301695,0.05336950362523785,0.27498155855643847,0.002848303917204276
1,1.5707963267948966,brick,4.256951279527559,0.851402273485905,47.07105068897638,0.058097773047891786,0.31358482012633365,0.0033753512331243414
1,2.356194490192345,brick,4.798127596255193,0.8160489896412525,58.22785045570092,0.05338347492595608,0.2800225366446737,0.0028497953951701818
3,0,brick,5.101375,0.780923353832619,69.0005,0.05046517982728289,0.25840679830699964,0.0025467343749999995
3,0.7853981633974483,brick,7.024124464600655,0.6175295642633879,121.62503149407911,0.04747126270215832,0.22429171486531788,0.002253520782537327
3,1.5707963267948966,brick,7.8405000000000005,0.5264898184809617,151.535875,0.046810288666061434,0.2176073528721345,0.0021912031249999996
