Odleglosc,Kierunek,Kategoria,dissimilarity,correlation,contrast,energy,homogeneity,ASM
1,0,concrete,4.798905019685039,0.5217674007673265,50.98861958661417,0.06712261748821839,0.2225843477220193,0.004505445778469682
1,0.7853981633974483,concrete,5.716101432202865,0.31257243090743897,73.40349680699362,0.06402325658612766,0.19338335068965773,0.00409897738389314
1,1.5707963267948966,concrete,5.0517962598425195,0.47473462831182606,55.86528051181102,0.06633177817534625,0.2111288208347072,0.004399904795903341
1,2.356194490192345,concrete,5.563519127038255,0.3389823349620511,70.58825717651436,0.0646094543353344,0.19989610133800376,0.004174381589509661
3,0,concrete,6.5169999999999995,0.07850879710210151,98.05625,0.06149942835100177,0.17562687761259574,0.0037821796875
3,0.7853981633974483,concrete,6.573318216175359,0.07329081053947474,99.29667422524565,0.06157491163916344,0.17551310206950782,0.0037914697433707855
3,1.5707963267948966,concrete,6.470625,0.0737974538071578,98.98975000000002,0.06230525910787949,0.18265643665155598,0.0038819453125000006
3,2.356194490192345,concrete,6.507306626354245,0.08691336381878541,97.85222978080121,0.06203940296502943,0.17895521072819937,0.003848887520257303
5,0,concrete,6.777502540650407,0.021222529241498343,103.73736026422766,0.06077825765165584,0.16972341884970826,0.0036939966031710623
5,0.7853981633974483,concrete,6.814060874089491,0.023719276053252424,104.36114724245577,0.06094443548300032,0.16722747129426543,0.0037142242163415887
5,1.5707963267948966,concrete,6.6563135162601625,0.04674733911368674,101.94035823170731,0.06155141827108858,0.17671815465279378,0.003788577091182497
5,2.356194490192345,concrete,6.812630072840791,0.02165027926913639,104.61452913631634,0.06105821983828952,0.17167556434994044,0.0037281062098208917
1,0,concrete,4.268577755905512,0.49274676216740637,41.27768208661417,0.07375438043481565,0.24435697949625637,0.0054397086333235175
1,0.7853981633974483,concrete,4.956847913695827,0.31111211922479964,56.08301816603634,0.0707314360077904,0.2199258250202888,0.005002936039724148
1,1.5707963267948966,concrete,4.4921875,0.4517376221578444,44.69666584645669,0.07294880715489839,0.23638654196495273,0.0053215284653225555
1,2.356194490192345,concrete,4.991877983755968,0.3040181673847367,56.6476532953066,0.07060333368406176,0.21650384291670863,0.00498483072730297
3,0,concrete,5.663625,0.07799279033036033,74.894,0.06840824146256064,0.20178370483429628,0.0046796875
3,0.7853981633974483,concrete,5.6714537666918625,0.08825323227194891,74.02821869488537,0.06843193065472064,0.19703314253819088,0.004682929133132494
3,1.5707963267948966,concrete,5.6129999999999995,0.08944402211057867,74.22775,0.0691069709761613,0.20631931299564593,0.0047757734375
3,2.356194490192345,concrete,5.748110355253212,0.05889224783732222,76.42183169564122,0.06854958169777693,0.1983967717587814,0.004699045150940195
