Odleglosc,Kierunek,Kategoria,dissimilarity,correlation,contrast,energy,homogeneity,ASM
1,0,wood,1.4392224409448817,0.687431195898266,4.146530511811023,0.16217264010179597,0.4984237667806232,0.026299965197586643
1,0.7853981633974483,wood,1.5605431210862422,0.639149236369827,4.791617583235167,0.15646125313443263,0.47393382876975726,0.024480123732397007
1,1.5707963267948966,wood,0.5973179133858268,0.9359218526847994,0.8574064960629922,0.22150854803545805,0.7263901295187482,0.04906603685277683
1,2.356194490192345,wood,1.5020770041540084,0.6727179744909868,4.345650691301383,0.15790097562324523,0.4803516823293333,0.02493271810277269
3,0,wood,2.7110625,-0.056397179007236016,13.7478125,0.1326926665268281,0.3264667819967895,0.017607343750000004
3,0.7853981633974483,wood,2.423595364071555,0.14156449877131558,11.284391534391535,0.13550496536683618,0.3565096917627537,0.018361595639067474
3,1.5707963267948966,wood,1.1545625,0.8153888283320738,2.4749375,0.17074670567832342,0.5444163719810473,0.029154437500000005
3,2.356194490192345,wood,2.3410808767951625,0.20196957919682956,10.497543461829176,0.1365544337994987,0.36506229997556633,0.018647113390301673
5,0,wood,2.6930894308943087,0.004801146236525665,12.878175813008129,0.1324185614789886,0.31925070564637686,0.017534675424164682
5,0.7853981633974483,wood,2.7750390218522374,-0.05298521866557631,13.763722684703435,0.13155760283467352,0.3148856835272471,0.0173074028636057
5,1.5707963267948966,wood,1.3624237804878048,0.7426466602785077,3.4663363821138216,0.16113740969563756,0.5003923886767513,0.025965264803419753
5,2.356194490192345,wood,2.797736732570239,-0.08096257969655526,14.174427679500521,0.1316737460363819,0.3149812368647292,0.017337975395253603
1,0,wood,1.5555487204724407,0.7150673845479457,5.137979822834646,0.15434944766084235,0.49290527245254273,0.02382375199320711
1,0.7853981633974483,wood,1.6675553351106704,0.681286586364812,5.742327484654969,0.14886942459865177,0.46933363588130034,0.022162105580333668
1,1.5707963267948966,wood,0.5797859251968505,0.9528464185818787,0.8504552165354332,0.21516618830353185,0.736017459037448,0.04629648858907092
1,2.356194490192345,wood,1.604253208506417,0.7034474151461658,5.343852687705376,0.15104478556381126,0.4800658025412349,0.022814527246017725
3,0,wood,3.03525,0.004538740232944685,17.961875,0.1193925379787196,0.32022408460190027,0.014254578125000002
3,0.7853981633974483,wood,2.6489040060468634,0.22181751789296483,14.038422776518015,0.12541184319301604,0.35344550671430386,0.015728130413069644
3,1.5707963267948966,wood,1.1887500000000002,0.8464175259507586,2.7711250000000005,0.16290595926024318,0.5436642635121917,0.026538351562500007
3,2.356194490192345,wood,2.5568783068783065,0.2712787910925466,13.160178886369362,0.12703713720142362,0.36224590898856346,0.01613843422833333
5,0,wood,3.1747967479674797,-0.008523823928498223,18.282647357723576,0.11684095307584887,0.2942768885193324,0.013651808315672715
5,0.7853981633974483,wood,3.2317898022892817,-0.05301269331889011,19.028225806451612,0.11685124619542783,0.29327535621537093,0.013654213737424488
5,1.5707963267948966,wood,1.4583968495934962,0.7692312996550051,4.173971036585366,0.15118073477229954,0.4895294752889996,0.02285561456629238
5,2.356194490192345,wood,3.2295785639958376,-0.05193135289131198,19.079344432882415,0.11656605917935582,0.2930461805772031,0.013587646152605085
1,0,wood,1.467396653543307,0.7026320866371047,5.5764025590551185,0.17944988283485383,0.5347921713886931,0.032202260449442764
1,0.7853981633974483,wood,1.5944571889143782,0.6639922233228173,6.299398598797198,0.17184910023719902,0.5055893952437659,0.029532113252334874
1,1.5707963267948966,wood,0.5833538385826771,0.9490428546716476,0.9545398622047243,0.2389614051891018,0.7416910709934647,0.057102553169950096
1,2.356194490192345,wood,1.5250790501581006,0.6955230693886604,5.707979415958832,0.17411960772535043,0.5143653370537097,0.03031763779442991
3,0,wood,2.7315,0.06491398724564694,17.567999999999998,0.14111259910085985,0.36675510514252047,0.019912765624999995
3,0.7853981633974483,wood,2.447908793146888,0.21637343420062113,14.707168052406148,0.14708807189096076,0.3955782318767193,0.021634900892600444
3,1.5707963267948966,wood,1.2678125,0.8058220517579272,3.6360625,0.17873172983552754,0.542858552985628,0.031945031250000006
3,2.356194490192345,wood,2.344293272864702,0.2826814310288565,13.46132527084908,0.14927760283640293,0.40496628002353535,0.022283802708582854
5,0,wood,2.89208587398374,0.02453169870280109,18.29350863821138,0.1373819853884036,0.33825766585925676,0.018873809909259538
5,0.7853981633974483,wood,2.933532778355879,-0.003749638920949072,18.855489073881373,0.1364705562665512,0.334986472392183,0.018624212727701914
5,1.5707963267948966,wood,1.580030487804878,0.6866844702642734,5.876524390243904,0.16644934972520645,0.49086282579317064,0.02770538602394408
5,2.356194490192345,wood,2.858936004162331,0.023671276598405913,18.356724765868883,0.13775002478063145,0.3487692210320754,0.018975069327064574
1,0,wood,1.3832431102362206,0.78395703710026,4.162155511811024,0.161911996373527,0.5223540783787753,0.026215494569661015
1,0.7853981633974483,wood,1.4713249426498853,0.7622559634437927,4.569223138446277,0.15644157254312097,0.500759810631485,0.024473965619764584
1,1.5707963267948966,wood,0.5343873031496063,0.9596637093127077,0.7768823818897639,0.22401543923628267,0.7555657945748965,0.050182917016224654
1,2.356194490192345,wood,1.4506789013578028,0.7646019304682856,4.523157046314093,0.15830761326323325,0.507898386666548,0.025061300417101424
3,0,wood,2.7742500000000003,0.17533778909677827,15.729625000000002,0.12526939720059324,0.3415085822305684,0.015692421875
3,0.7853981633974483,wood,2.355820105820106,0.38703042263154697,11.716868228772992,0.13189410501799145,0.3811736337097368,0.017396054938496962
3,1.5707963267948966,wood,1.1146250000000002,0.8652949393900452,2.584,0.16825719709718218,0.5660077666385717,0.028310484375000007
3,2.356194490192345,wood,2.325774754346183,0.392606041872798,11.615142353237593,0.13325317192125125,0.3898562311828972,0.017756407827074543
